Name;Units;Data Type;Description
id;unitless;``uint16``;Identification number
name;unitless;``str``;Name
alias;unitless;``str``;Alias
color;unitless;``str``;Color
kv;mm/d;``ufloat32``;Soil hydraulic conductivity
gk;d;``ufloat32``;Phreatic zone residence time
gcap;mm;``ufloat32``;Phreatic zone storage capacity
dea;mm;``ufloat32``;Deficit activation level for ET
ecap;mm;``ufloat32``;ET capacity at capilar zone
