Name;Units;Data Type;Description
datetime;unitless;``str``;Date-time label
ppt;mm/{dt};``float32``;Precipitation
pet;mm/{dt};``float32``;Potential Evapotranspiration
id_lulc;unitless;``uint16``;Identification number for land use map
