Name;Symbol;Description;Units;System
c0;:math:`C_{0}`;Canopy storage initial conditions;mm;storage
g0;:math:`G_{0}`;Phreatic zone initial conditions;mm;storage
s0;:math:`S_{0}`;Surface storage initial conditions;mm;storage
v0;:math:`V_{0}`;Vadose zone initial conditions;mm;storage
