File;Name;Structure
``acc.tif``;:ref:`Flow Accumulation<io-flowacc>`;:ref:`Raster<io-raster>`
``shd.tif``;:ref:`Hill Shade<io-hillshade>`;:ref:`Raster<io-raster>`
``qobs_series.csv``;:ref:`Streamflow Series<io-qobs_series>`;:ref:`Time Series<io-timeseries>`
``upa.tif``;:ref:`Upslope Area<io-uparea>`;:ref:`Raster<io-raster>`
