Name;Units;Data Type;Description
id;unitless;``uint16``;Identification number
name;unitless;``str``;Name
alias;unitless;``str``;Alias
color;unitless;``str``;Color
w_kv;unitless;``ufloat32``;(downscaling weight) Soil hydraulic conductivity
w_gk;unitless;``ufloat32``;(downscaling weight) Phreatic zone residence time
w_gcap;unitless;``ufloat32``;(downscaling weight) Phreatic zone storage capacity
w_dea;unitless;``ufloat32``;(downscaling weight) Deficit activation level for ET
w_ecap;unitless;``ufloat32``;(downscaling weight) ET capacity at capilar zone
