Name;Units;Data Type;Description
name;unitless;``str``;Name
alias;unitless;``str``;Alias
source;unitless;``str``;Source for reference
description;unitless;``str``;Brief description
folder_base;unitless;``str``;(optional) System path to base / parent folder of project
